"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",6,1,1,1,1,0,0,0,1,1,0
"2",5,0,1,1,0,1,1,0,1,0,0
"3",4,0,0,1,1,1,0,0,0,1,0
"4",7,1,1,1,0,0,1,1,1,1,0
"5",4,0,0,1,0,1,1,0,1,0,0
"6",5,1,1,1,0,0,0,1,1,0,0
"7",6,1,1,0,0,1,1,0,1,1,0
"8",4,0,0,1,1,1,0,1,0,0,0
"9",4,0,0,0,1,1,0,0,1,1,0
"10",4,0,0,1,1,0,0,1,0,1,0
"11",6,1,1,1,1,0,1,0,1,0,0
"12",6,1,1,1,1,0,0,1,1,0,0
"13",7,1,1,1,1,0,1,1,1,0,0
"14",7,1,1,1,1,1,0,0,1,1,0
"15",5,0,1,1,0,1,1,0,1,0,0
"16",3,1,1,0,0,0,0,1,0,0,0
"17",5,1,0,0,1,1,0,1,0,1,0
"18",3,0,0,1,1,0,0,1,0,0,0
"19",1,0,0,0,0,0,0,0,0,0,1
"20",1,0,0,0,0,0,0,0,0,0,1
