"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",5,0,1,1,1,0,0,1,0,1,0
"2",4,0,1,1,1,0,1,0,0,0,0
"3",2,1,0,1,0,0,0,0,0,0,0
"4",7,1,1,1,0,1,1,1,0,1,0
"5",7,1,1,1,1,1,1,0,1,0,0
"6",3,0,0,1,1,0,0,0,0,1,0
"7",8,1,1,1,1,1,1,1,0,1,0
"8",4,0,1,0,1,0,0,0,1,1,0
"9",6,1,1,1,0,0,1,1,0,1,0
"10",4,1,1,0,0,0,1,0,0,1,0
"11",6,0,1,1,1,1,0,0,1,1,0
"12",4,0,1,1,0,1,0,0,0,1,0
"13",8,1,1,1,0,1,1,1,1,1,0
"14",4,1,0,1,0,0,1,1,0,0,0
"15",4,0,1,0,1,1,0,0,1,0,0
"16",5,1,1,1,0,0,0,0,1,1,0
"17",3,0,0,0,1,0,1,0,0,1,0
"18",4,1,0,0,1,0,1,0,0,1,0
"19",1,0,0,0,0,0,0,0,0,0,1
"20",1,0,0,0,0,0,0,0,0,0,1
