"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",4,1,0,0,0,1,0,1,1,0,0
"2",4,1,0,0,0,1,1,1,0,0,0
"3",5,1,1,1,0,0,1,1,0,0,0
"4",4,0,0,1,1,1,1,0,0,0,0
"5",5,0,1,1,1,0,1,0,1,0,0
"6",5,1,0,0,1,1,0,1,1,0,0
"7",7,1,1,1,0,1,1,1,1,0,0
"8",3,0,0,1,0,1,0,0,0,1,0
"9",4,1,0,1,1,0,0,1,0,0,0
"10",7,1,1,1,0,1,1,1,0,1,0
"11",4,0,1,0,1,0,0,1,0,1,0
"12",4,0,1,0,0,1,0,1,1,0,0
"13",4,0,0,1,0,1,1,1,0,0,0
"14",6,0,1,1,1,1,1,1,0,0,0
"15",3,0,1,0,1,0,0,1,0,0,0
"16",4,1,0,0,1,1,0,0,1,0,0
"17",5,1,0,1,1,0,1,0,1,0,0
"18",3,0,0,0,0,1,1,1,0,0,0
"19",1,0,0,0,0,0,0,0,0,0,1
"20",1,0,0,0,0,0,0,0,0,0,1
