"","Fitness","Test_1","Test_2","Test_3","Test_4","Test_5","Test_6","Test_7","Test_8","Test_9","Focal"
"1",6,1,1,1,1,0,1,1,0,0,0
"2",5,1,0,0,0,1,0,1,1,1,0
"3",5,0,1,0,1,0,1,1,1,0,0
"4",3,1,0,0,0,0,1,0,1,0,0
"5",4,1,1,0,0,0,0,0,1,1,0
"6",1,0,0,0,0,0,0,1,0,0,0
"7",5,1,0,1,0,1,0,1,0,1,0
"8",4,1,1,0,0,1,0,1,0,0,0
"9",4,0,1,0,1,0,0,1,1,0,0
"10",6,0,0,1,1,1,1,1,0,1,0
"11",3,1,0,0,0,0,1,0,0,1,0
"12",2,0,0,1,0,0,0,0,0,1,0
"13",5,0,1,1,0,0,1,1,0,1,0
"14",4,1,0,0,1,0,1,0,0,1,0
"15",5,0,0,1,1,1,0,0,1,1,0
"16",6,1,1,1,1,0,1,0,1,0,0
"17",4,1,1,0,1,0,0,1,0,0,0
"18",7,1,1,0,1,1,1,1,0,1,0
"19",1,0,0,0,0,0,0,0,0,0,1
"20",1,0,0,0,0,0,0,0,0,0,1
